Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10pF,C32949
"C10, C11, C16, C7, C8, C9",0402,6,100 nF,
C12,0402,1,10 nF,
"C14, C17",0402,2,10 nF,
C15,0402,1,4.7 nF,
"C18, C19",0402,2,2.2uF,
C3,0402,1,100 nF,C1525
C4,0402,1,1 uF,
C6,0402,1,10 uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D3, D4, D5, D6, D7, D8, D9",D_SOD-323,25,D,C2128
F1,1812,1,Polyfuse,Manufacturer PTTC(Polytronics Tech) Copy MFR.Part # SMD1812P110TF Copy JLCPCB Part # C3102 Copy Package 1812 Copy Description -40℃~+85℃ 1.1A 100A 2.2A 210mΩ 300ms 40mΩ 800mW 8V 1812 Resettable Fuses ROHS
"FB1, FB2",BEADC1608X95N,2,FerriteBead,C14709
J2,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C2894897
"R1, R2",0402,2,5.1K,
"R10, R11, R12, R3, R4, R8, R9",0402,7,22,C25092
"R13, R14, R15, R16, R19, R5",0402,6,10 K,C17414
"R17, R18, R21",0402,3,330,
"R20, R6",0402,2,330,C23138
R7,0402,1,1M,
SW2,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C318884
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,C2052746
U2,SOT-23-6,1,USBLC6-2SC6,C7519
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14,C5605
Y1,OSC_X322516MLB4SI,1,Crystal_GND24,C13738
