Designator,Mid X,Mid Y,Rotation,Layer
C1,198.46625,-92.19375,90.0,bottom
C10,193.76,-99.14,180.0,bottom
C11,178.35349,-58.960677,0.0,bottom
C12,180.36999,-55.950677,0.0,bottom
C14,195.87349,-65.420677,90.0,bottom
C15,195.02999,-57.34,270.0,bottom
C16,198.46625,-88.25375,270.0,bottom
C17,180.03349,-98.420677,0.0,bottom
C18,202.74349,-73.030677,180.0,bottom
C19,200.69,-110.49,0.0,bottom
C2,198.46625,-90.25375,270.0,bottom
C3,182.55,-88.76,270.0,bottom
C4,191.25,-83.08,90.0,bottom
C6,179.52349,-75.570677,0.0,bottom
C7,183.84,-86.59,0.0,bottom
C8,186.85,-84.0,90.0,bottom
C9,183.38,-96.99,0.0,bottom
D1,94.592813,-64.099167,270.0,bottom
D10,96.575,-100.655,90.0,bottom
D11,115.625,-100.655,90.0,bottom
D12,134.675,-100.655,90.0,bottom
D13,153.725,-100.655,90.0,bottom
D14,96.575,-119.705,90.0,bottom
D15,115.625,-119.705,90.0,bottom
D16,134.675,-119.705,90.0,bottom
D17,153.725,-119.705,90.0,bottom
D18,170.742813,-121.299167,270.0,bottom
D19,96.575,-138.755,90.0,bottom
D2,115.625,-62.555,90.0,bottom
D20,115.625,-138.755,90.0,bottom
D21,134.675,-138.755,90.0,bottom
D22,153.725,-138.755,90.0,bottom
D23,213.38349,-83.898177,90.0,bottom
D24,215.54349,-83.918177,90.0,bottom
D25,213.61349,-126.780677,0.0,bottom
D3,134.675,-62.555,90.0,bottom
D4,153.725,-62.555,90.0,bottom
D5,172.775,-62.555,90.0,bottom
D6,115.625,-81.605,90.0,bottom
D7,134.675,-81.605,90.0,bottom
D8,153.725,-81.605,90.0,bottom
D9,170.842813,-83.099167,270.0,bottom
F1,180.73349,-70.050677,270.0,bottom
FB1,178.60849,-57.450677,0.0,bottom
FB2,189.44,-83.33,90.0,bottom
J2,188.0765,-53.725,180.0,bottom
R1,183.63999,-59.7,180.0,bottom
R10,187.4,-99.7,270.0,bottom
R11,186.35,-99.7,270.0,bottom
R12,190.55,-99.7,270.0,bottom
R13,205.93349,-110.490677,180.0,bottom
R14,200.46,-73.540677,270.0,bottom
R15,200.67,-108.95,0.0,bottom
R16,200.42349,-77.020677,90.0,bottom
R17,221.0,-98.0,0.0,bottom
R18,219.0,-98.0,0.0,bottom
R19,184.35,-98.43,180.0,bottom
R2,192.43999,-59.7,0.0,bottom
R20,180.05,-96.65,0.0,bottom
R21,217.0,-98.0,0.0,bottom
R3,187.04499,-64.205677,0.0,bottom
R4,189.05499,-64.205677,180.0,bottom
R5,197.28349,-65.410677,90.0,bottom
R6,198.63349,-65.410677,270.0,bottom
R7,196.66999,-57.34,90.0,bottom
R8,189.5,-99.7,270.0,bottom
R9,188.45,-99.7,270.0,bottom
SW2,180.23,-103.0,0.0,bottom
U1,190.06,-91.62,180.0,bottom
U2,188.090191,-61.381677,90.0,bottom
U3,209.44349,-93.04,270.0,bottom
Y1,202.0,-91.22,0.0,bottom
